Date,Open Price,High Price,Low Price,Close Price,Adj Close,Average Price,Volume
22-10-21,3560,3561.6,3485,3501.85,3498.85,3511.44,2691670
25-10-21,3503,3514.55,3450,3491,3492.95,3477.23,2595594
26-10-21,3494.5,3529,3475,3485.9,3482.6,3494.69,3878763
27-10-21,3483,3511.25,3483,3488.45,3489.75,3495.53,2510813
28-10-21,3518,3518,3415,3423,3421.65,3450.19,2424942
29-10-21,3400.05,3461,3385.95,3404,3397.75,3424.21,3960501
01-11-21,3437.95,3487,3412.95,3482.35,3476.4,3445.74,2020718
02-11-21,3494,3513.6,3469.75,3484,3484.2,3490.81,3087414
03-11-21,3504.2,3519.9,3466.05,3488,3492.25,3492.58,1537639
04-11-21,3512.95,3513.25,3505,3508.65,3508.65,3509.12,328991
08-11-21,3548,3548,3481.2,3506,3502.75,3503.3,2526082
09-11-21,3508,3535,3496,3503,3505.7,3508.51,1782692
10-11-21,3498,3519.7,3480.2,3484.95,3484.3,3494.09,1516489
11-11-21,3480,3510.05,3436,3505,3488.2,3464.62,1284514
12-11-21,3506,3534.15,3485.7,3524,3526.05,3509.52,1747259
15-11-21,3528,3569.6,3528,3550,3553.3,3554.41,1809157
16-11-21,3569,3575.55,3542,3548,3556.4,3560.79,2013204
17-11-21,3550.6,3562.85,3506.4,3520.8,3521.9,3533.85,1632914
18-11-21,3515.15,3520.85,3451.6,3471.95,3475.7,3478.49,2136598
22-11-21,3478.4,3515.95,3440.3,3463.75,3458.4,3482.5,3167936
23-11-21,3445,3480.95,3407.8,3472,3464.25,3455.05,2153461
24-11-21,3472.2,3493.05,3424,3431.95,3443.3,3469.8,2161746
25-11-21,3443.9,3463,3434.05,3450,3445.9,3451.54,1849619
26-11-21,3425,3490,3411.9,3439.2,3446.85,3454.4,1941251
29-11-21,3447.15,3529.35,3406.45,3503.5,3502,3490.28,2981745
30-11-21,3491,3563.75,3491,3535,3529.15,3535.48,5588446
01-12-21,3535,3590,3535,3581,3577.8,3568.53,2102118
02-12-21,3589.2,3648,3574.1,3637,3642.9,3614.21,3152938
03-12-21,3646.45,3665.95,3630.85,3641,3640.45,3644.63,2486263
06-12-21,3640.45,3658,3522,3533.8,3536.4,3585.65,1849642
07-12-21,3562.5,3598,3524.3,3589.9,3584.5,3572.57,1484458
08-12-21,3601,3646.45,3601,3624,3626.9,3631.02,1428660
09-12-21,3610,3634.75,3566,3600,3601.75,3593.64,1567957
10-12-21,3585,3642,3575.1,3630,3636.8,3611.25,1510718
13-12-21,3650,3662,3601.7,3615,3609.65,3626.62,1883864
14-12-21,3605,3635,3576.7,3619.95,3623.8,3618.04,1747007
15-12-21,3620,3623,3558.15,3571,3570.35,3575.02,1603233
16-12-21,3582,3608.45,3570,3585,3581.6,3582.96,2072320
17-12-21,3602.5,3651.35,3573.7,3574.9,3584.35,3608.9,4333992
20-12-21,3589,3606,3510.15,3559.3,3556.9,3569.27,2312310
21-12-21,3582.65,3641.2,3566.4,3611,3608.3,3617.22,2340989
22-12-21,3624,3636.8,3606.25,3628.3,3630.75,3625.84,1224328
23-12-21,3648,3670.5,3630,3660.65,3662.7,3656.52,1792861
24-12-21,3685,3705,3644.8,3671,3670.9,3673.31,2209923
27-12-21,3671,3700,3653.1,3696.5,3696.1,3684.66,1534135
28-12-21,3710,3725,3693.85,3706.95,3706.55,3713.05,1456218
29-12-21,3692.25,3719.95,3685,3688.05,3694.7,3704.9,1456923
30-12-21,3681.35,3740,3680,3737,3733.75,3725.52,1966475
31-12-21,3742.8,3760,3731.3,3740,3738.35,3744.51,1207141
03-01-22,3750,3830,3745,3815,3817.75,3807.43,2346158
04-01-22,3831.1,3889.15,3811.7,3878.7,3884.75,3859.3,2488606
05-01-22,3865,3870,3812.4,3856,3860.95,3847.67,1733031
06-01-22,3812,3835,3772,3809.95,3807.45,3802.98,1810293
07-01-22,3820,3864.9,3796.4,3858.9,3853.5,3839.03,2460591
10-01-22,3978,3978,3861,3884,3879.85,3897.84,3937092
11-01-22,3856,3925,3856,3917,3915.9,3896.96,1906106
12-01-22,3925,3929,3836.55,3857,3859.9,3874.16,3203744
13-01-22,3918,3923,3857,3898,3897.9,3891.72,6684507
14-01-22,3877.85,3977,3860.05,3965.35,3968.15,3924.25,3348123
17-01-22,3992.7,4043,3962.3,4025,4019.15,4010.33,3442604
18-01-22,4033.95,4041.7,3980,3993.95,3990.6,4009.82,2389041
19-01-22,4012,4012,3910.5,3914.7,3914.65,3937.16,3102539
20-01-22,3910,3920,3811,3833.15,3826.55,3843.03,6176776
21-01-22,3807,3851.55,3771.1,3840,3833.5,3820.58,3112358
24-01-22,3840,3849.65,3740.1,3769.95,3771.35,3783.08,3258414
25-01-22,3769.5,3809.4,3722.2,3765,3769.9,3763.15,3330501
27-01-22,3731,3733.4,3625.1,3652,3649.25,3669.1,5718297
28-01-22,3646,3729.8,3646,3697.85,3690.05,3702.94,3143862
31-01-22,3749,3758,3721.4,3744.95,3736.25,3741.03,2739393
01-02-22,3770,3808,3736.4,3805,3800.65,3781.44,2105169
02-02-22,3827.9,3864,3800.65,3863,3856.2,3841.31,1984212
03-02-22,3851,3882.5,3816.05,3819,3824.6,3850.57,1960538
04-02-22,3815.3,3824.7,3769,3818,3814.9,3804.03,2307366
07-02-22,3791,3831.8,3756.15,3781.8,3779,3791.19,1919149
08-02-22,3791.55,3799.7,3721,3738,3743.45,3741.49,2946443
09-02-22,3750,3777.95,3746.1,3761.65,3760.55,3761.99,1638721
10-02-22,3789.8,3789.8,3758,3765.7,3770.35,3771.41,2112459
11-02-22,3752.5,3752.5,3690,3693,3694.95,3703.65,3851488
14-02-22,3724,3793.25,3710,3729.15,3733.75,3749.84,5951745
15-02-22,3786,3835,3748,3832.95,3817.8,3784.27,3931683
16-02-22,3844,3854.1,3806,3810,3813.1,3822.91,3256906
